Reference, Quantity, Value, Footprint, Datasheet, MFN, MPN, PurchasingLink, DK
C22 C20 C19 C23 C21 ,5,"1uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf","DK","1276-2887-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973",""
C24 C25 C18 C17 ,4,"C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND",""
C34 C35 C36 ,3,"C_1uF","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2018/06/20/CL21A105KAFNNNE.pdf","DK","1276-2887-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A105KAFNNNE/1276-2887-1-ND/3890973",""
C37 C1 C2 C3 C4 C5 C6 C7 C8 C26 C27 C30 C31 C9 C10 C11 C12 C13 C14 C15 C16 C28 C29 C32 C33 ,25,"C_10nF","footprints:C_0805_OEM","https://content.kemet.com/datasheets/KEM_C1076_X7R_HV_AUTO_SMD.pdf"
J1 J4 ,2,"MM_F_VT_12","footprints:micromatch_female_vt_12","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-2","TE","1-338068-2","http://www.te.com/global-en/product-1-338068-2.html",""
J2 ,1,"MM_F_VT_10","footprints:micromatch_female_vert_10","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-0","TE","1-338068-0","http://www.te.com/global-en/product-1-338068-0.html",""
J3 ,1,"MM_F_VT_16","footprints:micromatch_female_vert_16","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-6","TE","1-338068-6","http://www.te.com/global-en/product-1-338068-6.html",""
J5 ,1,"MM_M_VT_12","footprints:micromatch_female_vt_12","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-1-215464-2","TE","1-215464-2","http://www.te.com/global-en/product-1-215464-2.html",""
J6 J7 ,2,"MicroFit_RA_V_2_SMD","footprints:MicroFit_RA_2_SMD","https://www.molex.com/pdm_docs/sd/436500213_sd.pdf","","436500213","https://www.digikey.com/product-detail/en/molex/0436500213/WM1895CT-ND/269061","MFN"
J8 ,1,"MM_F_VT_04","footprints:micromatch_female_vert_4","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F338068-4","TE","338068-4","http://www.te.com/global-en/product-338068-4.html",""
Q1 Q2 ,2,"NSS1C201MZ4","footprints:SOT-223","http://www.onsemi.com/pub/Collateral/NSS1C201MZ4-D.PDF","DK","NSS1C201MZ4T3GOSCT-ND ","https://www.digikey.com/product-detail/en/on-semiconductor/NSS1C201MZ4T3G/NSS1C201MZ4T3GOSCT-ND/9087487",""
R1 R2 R3 R4 R5 R6 R7 R8 R39 R42 R9 R10 R11 R12 R13 R14 R15 R16 ,18,"R_4.99K","footprints:R_0805_OEM","https://www.digikey.com/product-detail/en/yageo/RC0402FR-074K99L/311-4.99KLRTR-ND/2827568"
R37 R40 R38 R41 ,4,"R_1K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RNCP0805FTD1K00CT-ND","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
R45 R48 R51 R54 R65 R68 R71 R74 R46 R49 R52 R55 R66 R69 R72 R75 R47 R50 R53 R56 R67 R70 R73 R76 ,24,"R_100K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","DK","P100KCCT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551",""
R57 R58 R59 R60 R61 R62 R63 R64 ,8,"R_60.4","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","DK","P60.4DACT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB60R4V/P60.4DACT-ND/3075204",""
R77 R43 R35 R17 R18 R19 R20 R21 R22 R23 R24 R25 R44 R36 R26 R27 R28 R29 R30 R31 R32 R33 R34 ,23,"R_100","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RNCP0805FTD100RCT-ND","https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND",""
T1 T2 ,2,"T_LAN_SM91501ALE","footprints:T_LAN_SM91501ALE","https://www.mouser.com/datasheet/2/54/sm91501al-1488891.pdf","DK","SM91501ALE","https://www.digikey.si/product-detail/en/bourns-inc/SM91501ALE/SM91501ALETR-ND/9650127",""
TP6 TP7 TP10 TP8 TP5 TP9 TP12 TP11 TP13 TP14 TP2 TP1 TP3 TP4 ,14,"Test_Point_SMD","footprints:Test_Point_SMD",""
U1 U2 ,2,"LTC6811-1","footprints:TSSOP-48_LTC6811-1","https://www.analog.com/media/en/technical-documentation/data-sheets/68111fb.pdf","DK","LTC6811IG-1-PBF-ND","https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC6811IG-1-3ZZTRPBF/LTC6811IG-1-3ZZTRPBFCT-ND/9841747",""
U3 ,1,"24AA01","footprints:SOT-23-5_OEM_24AA01","http://ww1.microchip.com/downloads/en/DeviceDoc/21711J.pdf","DK","CAT24AA01TDI-GT3OSCT-ND ","https://www.digikey.com/product-detail/en/on-semiconductor/CAT24AA01TDI-GT3/CAT24AA01TDI-GT3OSCT-ND/3487510",""
U5 U6 U7 ,3,"LTC1380IGN","Package_SO:SSOP-16_3.9x4.9mm_P0.635mm","https://www.analog.com/media/en/technical-documentation/data-sheets/138093f.pdf","DK","LTC1380IGN#PBF-ND","https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC1380IGN-TRPBF/LTC1380IGN-TRPBFCT-ND/9554873",""
U8 U4 ,2,"MCP6001T-I-LT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","DK","MCP6001T-I/LTCT-ND","https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-LT/MCP6001T-I-LTCT-ND/669499",""